time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,2.2042308550857513e-08,-8.54910170437133e-08,10.00340233512736,6.283027885094423,6.283155531139041,0.0,2.2633340013854487e-06,-1.0413776011513642e-05,0.11340588596926504,-0.008469209383471763,-0.0015078360906496755,0.0,441.0390229865753,440.91450296878685,441.6384243390231,440.9395034733661
0.12000000000000001,1.1703818511373135e-06,-5.2207685996478025e-06,10.01256768970678,6.282973576524208,6.282908390562589,0.0,5.211653128994011e-05,-0.00018542362528347868,0.1920953226335889,0.011049059274659883,-0.009933203868432071,0.0,430.90399138087605,430.19135866798354,428.8370282647494,430.49150888144806
0.18,1.2184901352691822e-05,-1.8196075492362978e-05,10.026579585356963,0.00035826049621956457,6.282134941131606,0.0,0.00038236636193083576,-0.00018556913449870683,0.2749508968109368,0.006205955044506803,-0.019581663009344885,0.0,431.4993388918085,430.68430003388255,432.0651221647664,431.65656706905395
0.23999999999999996,5.983918874541042e-05,-2.1018439097856295e-05,10.045046300606698,0.000594900499317319,6.281148348527861,0.0,0.001310213020078681,0.00012141647444705309,0.34058831246177285,-0.0010146539697205572,-0.010808109506733677,0.0,425.8299409611583,426.57973614341114,426.0038125441335,425.38598001493057
0.3,0.0001880633462892059,2.572095440069452e-07,10.071200287238007,0.0008224681821635826,6.281066082065156,0.0,0.0030005714929313924,0.000598976441899214,0.5311414565779682,0.011997321738482425,0.012842507543644025,0.0,464.899397452487,466.74857383646423,463.45145753635666,464.4728388578809
0.36000000000000004,0.00042142243890156225,6.262256073705976e-05,10.112671691209735,0.001036488712759187,6.282210199574891,0.0,0.004645857479285069,0.00155725218017748,0.8510564140973541,-0.024233988322721337,0.02927104056063996,0.0,501.9134738946642,503.10411228659433,503.18530842594396,500.555965777086
0.4200000000000001,0.0007162342839253263,0.00017479691345768765,10.170623023712714,6.2824879041065955,0.0005981847420102326,0.0,0.004978369317375805,0.001991269663044017,1.0804663865043458,-0.04040362134857262,0.01929390006223894,0.0,477.7181905415526,476.95699996796355,477.1770333159673,475.94101136221843
0.48000000000000015,0.0009972906232727015,0.0002693993858762314,10.239628537250537,6.2802186112971405,0.0015519122162119814,0.0,0.004275356661101095,0.0009098264768524787,1.2195786205142765,-0.033102778409984636,0.008044300860932605,0.0,451.1613981146875,450.25220244247447,449.6293460069728,450.2196900255604
0.5400000000000001,0.0012224140761321813,0.00026020809138542603,10.314282745409173,6.278276155806466,0.001662922826678681,0.0,0.0031966378248736915,-0.0014015966964662278,1.268840646753411,-0.03095591231892117,-0.014941992955036648,0.0,423.248784238786,421.2660310781837,421.659544286694,421.844494820134
0.6000000000000002,0.001382586531505474,6.829859673222437e-05,10.39328148370838,6.276025089415915,0.001442804699362199,0.0,0.0021928036929533155,-0.005197765984452626,1.3643401947249827,-0.05576723349161466,0.01257077185833448,0.0,435.9171936009419,438.2100376016368,438.1390032287383,436.07067561836453
0.6600000000000003,0.0014813495841207677,-0.0004040726579533934,10.47826312672288,6.273492229299908,0.0020595588551524102,0.0,0.0010287231686104755,-0.01083966649777074,1.4682508083199248,-0.02368983535317667,0.005249479284671227,0.0,440.44307258371333,439.8370886912687,438.5246552521822,441.1796402091879
0.7200000000000003,0.0015015263315994217,-0.0012486213507378475,10.568311497736744,6.2728863972783575,0.0023875407318527664,0.0,-0.0003871134728830445,-0.017400904730323564,1.5332753459949013,0.008469170514969412,0.005896662724028399,0.0,428.15399294085245,428.2089524922282,426.0993865162935,428.83959987943354
0.7800000000000004,0.0014228786712444197,-0.0025178253818032457,10.6647034527482,6.27323742483196,0.0036031829416938166,0.0,-0.002329648124814786,-0.024856416854241177,1.6795864427494704,1.754082978205288e-05,0.03954972540058112,0.0,451.7287799963377,454.4341851590726,454.5714494250183,453.89364518007164
0.8400000000000004,0.0012149672342307905,-0.004177032078704006,10.764683542286955,6.273092790907572,0.00564532133650264,0.0,-0.004787480208224976,-0.030456431550276036,1.6531210647369334,-0.007772855191052485,0.01974000841582739,0.0,398.9835181736067,397.1715090794667,397.61601992553227,396.90177066937366
0.9000000000000005,0.0007848189498033985,-0.006252219552811806,10.870557768447096,6.272646467275589,0.006942521602416818,0.0,-0.009698152993845488,-0.038767873236243436,1.875680248918505,-0.0067786872265798125,0.025136933244881463,0.0,477.212873672506,477.62459427479484,476.15839129501546,476.23455127411626
0.9600000000000005,2.3711605869864184e-05,-0.008841168311934612,10.990255813691453,6.272632394375563,0.008066972536934003,0.0,-0.015836168925222955,-0.04754887701646719,2.113843920028359,0.010396366925101607,0.0011579654482185234,0.0,482.1330305401246,480.31798890283386,482.20794636752925,483.50356252176175
1.0200000000000005,-0.0011013974890350714,-0.011919127075253378,11.1209820781127,6.2728918393764275,0.008718412303097445,0.0,-0.02170900717722342,-0.05499583705076575,2.24345292970779,-0.012002051067893803,0.025370747378856518,0.0,449.0700165902122,451.02961386147837,451.8429500428759,450.0336612306827
1.0800000000000005,-0.002610718273107413,-0.015458604371153551,11.260915805639941,6.2721448276137775,0.009993255405892576,0.0,-0.028758922758431296,-0.06306621340112124,2.420644046183942,-0.013361881776699652,0.011367366661876314,0.0,466.11034958913234,465.0147181990824,465.4553805897818,465.34908062175157
